Authors,Title,Year,Source,ArticleURL,DOI,Cites,capture.READER_COUNT_plumx,citation.Scopus_plumx,citation.CrossRef_plumx,citation.Academic Citation Index (ACI) - airiti_plumx,citation.PubMed_plumx,mention.ABSTRACT_VIEWS_plumx,mention.DOWNLOAD_COUNT_plumx,mention.FULL_TEXT_VIEWS_plumx,capture.EXPORTS_SAVES_plumx,readers.citeulike_altmetrics,readers.mendeley_altmetrics,readers.connotea_altmetrics,readers_count_altmetrics,cited_by_posts_count_altmetrics,cited_by_accounts_count_altmetrics,cited_by_tweeters_count_altmetrics,mention.FACEBOOK_COUNT_plumx,cited_by_fbwalls_count_altmetrics,cited_by_videos_count_altmetrics,cited_by_feeds_count_altmetrics,cited_by_linkedin_count_altmetrics,cited_by_weibo_count_altmetrics,cited_by_msm_count_altmetrics,mention.NEWS_COUNT_plumx,cited_by_patents_count_altmetrics,citation.Patent Families_plumx,citation.Policy Citation_plumx,cited_by_policies_count_altmetrics,impact_factor,cited_by_wikipedia_count_altmetrics,Bibliometrics_avg,Social Media_avg,News Media_avg,Patents_avg,Policies_avg,Journal Impact Factor_avg,Misc._avg,Bibliometrics_pct,Social Media_pct,News Media_pct,Patents_pct,Policies_pct,Journal Impact Factor_pct,Misc._pct,composite_score,composite_index_pct
"Ian M. Thompson, Catherine M. Tangen, Jorge Paradelo, M. Scott Lucia, Gary Miller, Dean Troyer, Edward Messing, Jeffrey Forman, Joseph Chin, Gregory Swanson, Edith Canby-Hagino, E. David Crawford",Adjuvant Radiotherapy for Pathological T3N0M0 Prostate Cancer Significantly Reduces Risk of Metastases and Improves Survival: Long-Term Followup of a Randomized Clinical Trial,2009,Journal of Urology,http://dx.doi.org/10.1016/j.juro.2008.11.032,10.1016/j.juro.2008.11.032,0.99776,0.98608,0.998,0.99808,0.49048,0.9992,0.47692,0.48884,0.4994,0.4999,0.48702,0.988,0.49746,0.988,0.92418,0.92448,0.90794,0.961,0.481,0.49776,0.97128,0.49996,0.5,0.96222,0.94842,0.93998,0.48984,0.9892,0.9918,0.77924,0.97632,0.7228753846153846,0.7426514285714285,0.95532,0.71491,0.9904999999999999,0.77924,0.81512,0.985,0.96788,0.97496,0.93686,0.99464,0.77924,0.99374,0.9685830000000002,0.9996
"Kevin D. Tipton, Blake B. Rasmussen, Sharon L. Miller, Steven E. Wolf, Sharla K. Owens-Stovall, Bart E. Petrini, Robert R. Wolfe",Timing of amino acid-carbohydrate ingestion alters anabolic response of muscle to resistance exercise,2001,American Journal of Physiology-Endocrinology and Metabolism,http://dx.doi.org/10.1152/ajpendo.2001.281.2.e197,10.1152/ajpendo.2001.281.2.e197,0.97448,0.97392,0.98192,0.97164,0.98182,0.98076,0.47692,0.48884,0.4994,0.4999,0.48702,0.97892,0.9953,0.97892,0.99352,0.99158,0.9896,0.97992,0.9968,0.99996,0.98112,0.49996,0.5,0.98628,0.96558,0.92326,0.48984,0.90942,0.96754,0.59692,0.484,0.7919446153846154,0.8501971428571429,0.97593,0.70655,0.93848,0.59692,0.8216933333333333,0.999,0.999,0.9874,0.92222,0.97424,0.59692,0.9964,0.9674520000000002,0.99956
"Yu-Sheng Cong, Woodring E. Wright, Jerry W. Shay",Human Telomerase and Its Regulation,2002,Microbiology and Molecular Biology Reviews,http://dx.doi.org/10.1128/mmbr.66.3.407-425.2002,10.1128/mmbr.66.3.407-425.2002,0.99248,0.99024,0.99276,0.99362,0.49048,0.99744,0.47692,0.48884,0.4994,0.4999,0.9896,0.99168,0.49746,0.99172,0.91672,0.92408,0.81156,0.96312,0.481,0.99568,0.9669,0.49996,0.5,0.95954,0.94452,0.9791,0.48984,0.9115,0.48278,0.76576,0.99706,0.7615430769230771,0.728062857142857,0.9520299999999999,0.73447,0.69714,0.76576,0.9865466666666666,0.99604,0.95996,0.97378,0.96826,0.90236,0.76576,0.99928,0.9667079999999999,0.99952
"Gerardo Chowell, Carlos Castillo-Chavez, Paul W. Fenimore, Christopher M. Kribs-Zaleta, Leon Arriola, James M. Hyman",Model Parameters and Outbreak Control for SARS,2004,Emerging Infectious Diseases,http://dx.doi.org/10.3201/eid1007.030647,10.3201/eid1007.030647,0.94372,0.86816,0.93092,0.818,0.98374,0.97504,0.47692,0.48884,0.4994,0.4999,0.48702,0.90792,0.49746,0.90812,0.92504,0.93156,0.91754,0.94786,0.481,0.49776,0.96772,0.49996,0.5,0.97212,0.9605,0.93052,0.48984,0.95988,0.98766,0.76428,0.98828,0.7185723076923077,0.74328,0.96631,0.71018,0.97377,0.76428,0.81792,0.98256,0.96842,0.98022,0.92876,0.9849,0.76428,0.99492,0.9654699999999999,0.99948
"Maeli Melotto, William Underwood, Sheng Yang He",Role of Stomata in Plant Innate Immunity and Foliar Bacterial Diseases,2008,Annual Review of Phytopathology,http://dx.doi.org/10.1146/annurev.phyto.121107.104959,10.1146/annurev.phyto.121107.104959,0.99408,0.99196,0.99272,0.99296,0.49048,0.998,0.47692,0.48884,0.4994,0.4999,0.98268,0.99312,0.49746,0.99312,0.88756,0.88262,0.8294,0.46874,0.481,0.99638,0.48296,0.49996,0.5,0.47926,0.94774,0.97726,0.99528,0.92326,0.97766,0.8341,0.9856,0.7613507692307692,0.6498971428571428,0.7135,0.98627,0.95046,0.8341,0.8216466666666667,0.9959,0.85924,0.93116,0.99238,0.97676,0.8341,0.99636,0.965427,0.99944
"John C. Byrd, Richard R. Furman, Steven E. Coutre, Jan A. Burger, Kristie A. Blum, Morton Coleman, William G. Wierda, Jeffrey A. Jones, Weiqiang Zhao, Nyla A. Heerema, Amy J. Johnson, Yun Shaw, Elizabeth Bilotti, Cathy Zhou, Danelle F. James, Susan O'Brien",Three-year follow-up of treatment-naïve and previously treated patients with CLL and SLL receiving single-agent ibrutinib,2015,Blood,http://dx.doi.org/10.1182/blood-2014-10-606038,10.1182/blood-2014-10-606038,0.99748,0.9888,0.99768,0.9964,0.49048,0.9994,0.47692,0.48884,0.4994,0.4999,0.99312,0.9906,0.49746,0.99064,0.98844,0.98952,0.9764,0.94336,0.481,0.49776,0.48296,0.49996,0.5,0.47926,0.9703,0.99984,0.99464,0.9835,0.99702,0.96172,0.484,0.76228,0.768382857142857,0.72478,0.9972399999999999,0.99026,0.96172,0.48824,0.99632,0.98276,0.95122,0.99912,0.99418,0.96172,0.46854,0.962401,0.9994
"Kumari G. Lokugamage, Krishna Narayanan, Cheng Huang, Shinji Makino",Severe Acute Respiratory Syndrome Coronavirus Protein nsp1 Is a Novel Eukaryotic Translation Inhibitor That Represses Multiple Steps of Translation Initiation,2012,Journal of Virology,http://dx.doi.org/10.1128/jvi.01958-12,10.1128/jvi.01958-12,0.97646,0.95024,0.96316,0.96752,0.49048,0.99592,0.47692,0.48884,0.4994,0.4999,0.48702,0.96082,0.49746,0.9608,0.84912,0.85446,0.8065,0.94092,0.481,0.49776,0.97416,0.49996,0.5,0.96444,0.95102,0.94494,0.99194,0.96246,0.48278,0.74908,0.9797,0.7106523076923078,0.7045657142857144,0.95773,0.96844,0.72262,0.74908,0.8172066666666667,0.97676,0.94552,0.97602,0.98472,0.95036,0.74908,0.99472,0.961232,0.99936
"Bruce D. Cheson, John M. Bennett, Kenneth J. Kopecky, Thomas Büchner, Cheryl L. Willman, Elihu H. Estey, Charles A. Schiffer, Hartmut Doehner, Martin S. Tallman, T. Andrew Lister, Francesco Lo-Coco, Roel Willemze, Andrea Biondi, Wolfgang Hiddemann, Richard A. Larson, Bob Löwenberg, Miguel A. Sanz, David R. Head, Ryuzo Ohno, Clara D. Bloomfield","Revised Recommendations of the International Working Group for Diagnosis, Standardization of Response Criteria, Treatment Outcomes, and Reporting Standards for Therapeutic Trials in Acute Myeloid Leukemia",2003,Journal of Clinical Oncology,http://dx.doi.org/10.1200/jco.2003.04.036,10.1200/jco.2003.04.036,0.99926,0.98566,0.9993,0.99934,0.49048,0.99978,0.47692,0.48884,0.4994,0.4999,0.9906,0.98814,0.49746,0.98822,0.96652,0.96826,0.81402,0.9383,0.481,0.49776,0.48296,0.49996,0.5,0.95986,0.47158,0.99894,0.9962,0.9835,0.9868,0.95254,0.484,0.7618492307692306,0.7382942857142857,0.71572,0.9975700000000001,0.98515,0.95254,0.48824,0.9961,0.96574,0.93398,0.99938,0.99138,0.95254,0.46854,0.9581519999999999,0.9993
"Bruce D. Cheson, John M. Bennett, Kenneth J. Kopecky, Thomas Büchner, Cheryl L. Willman, Elihu H. Estey, Charles A. Schiffer, Hartmut Doehner, Martin S. Tallman, T. Andrew Lister, Francesco Lo-Coco, Roel Willemze, Andrea Biondi, Wolfgang Hiddemann, Richard A. Larson, Bob Löwenberg, Miguel A. Sanz, David R. Head, Ryuzo Ohno, Clara D. Bloomfield","Revised Recommendations of the International Working Group for Diagnosis, Standardization of Response Criteria, Treatment Outcomes, and Reporting Standards for Therapeutic Trials in Acute Myeloid Leukemia",2003,Journal of Clinical Oncology,http://dx.doi.org/10.1200/jco.2003.04.036,10.1200/jco.2003.04.036,0.99926,0.98566,0.9993,0.99934,0.49048,0.99978,0.47692,0.48884,0.4994,0.4999,0.9906,0.98814,0.49746,0.98822,0.96652,0.96826,0.81402,0.9383,0.481,0.49776,0.48296,0.49996,0.5,0.95986,0.47158,0.99894,0.9962,0.9835,0.9868,0.95254,0.484,0.7618492307692306,0.7382942857142857,0.71572,0.9975700000000001,0.98515,0.95254,0.48824,0.9961,0.96574,0.93398,0.99938,0.99138,0.95254,0.46854,0.9581519999999999,0.9993
"Blake B. Rasmussen, Kevin D. Tipton, Sharon L. Miller, Steven E. Wolf, Robert R. Wolfe",An oral essential amino acid-carbohydrate supplement enhances muscle protein anabolism after resistance exercise,2000,Journal of Applied Physiology,http://dx.doi.org/10.1152/jappl.2000.88.2.386,10.1152/jappl.2000.88.2.386,0.97724,0.95722,0.97922,0.97644,0.99724,0.98298,0.47692,0.48884,0.4994,0.4999,0.9745,0.96676,0.49746,0.96676,0.95892,0.96364,0.95358,0.98296,0.98852,0.99946,0.96604,0.49996,0.5,0.97944,0.47158,0.95752,0.48984,0.45314,0.96618,0.52228,0.484,0.7895107692307692,0.8353685714285713,0.72551,0.72368,0.70966,0.52228,0.8165,0.99864,0.99596,0.95196,0.95072,0.92352,0.52228,0.99448,0.9573740000000001,0.99924
"Mark E. Shirtliff, Jon T. Mader",Acute Septic Arthritis,2002,Clinical Microbiology Reviews,http://dx.doi.org/10.1128/cmr.15.4.527-544.2002,10.1128/cmr.15.4.527-544.2002,0.98552,0.95126,0.98512,0.98876,0.49048,0.9926,0.47692,0.48884,0.4994,0.4999,0.48702,0.96214,0.49746,0.96204,0.84852,0.85388,0.83264,0.46874,0.481,0.49776,0.48296,0.49996,0.5,0.95954,0.94452,0.92584,0.48984,0.93826,0.96898,0.89104,0.98688,0.7139953846153845,0.640677142857143,0.9520299999999999,0.70784,0.9536199999999999,0.89104,0.6558666666666667,0.97924,0.84508,0.97378,0.92452,0.97766,0.89104,0.9714,0.954846,0.9992
"Anthony J.G. Hanley, Ken Williams, Michael P. Stern, Steven M. Haffner",Homeostasis Model Assessment of Insulin Resistance in Relation to the Incidence of Cardiovascular Disease,2002,Diabetes Care,http://dx.doi.org/10.2337/diacare.25.7.1177,10.2337/diacare.25.7.1177,0.9881,0.89594,0.98936,0.9893,0.49048,0.9944,0.47692,0.48884,0.4994,0.4999,0.9765,0.92964,0.49746,0.93032,0.877,0.8785,0.89064,0.46874,0.481,0.49776,0.48296,0.49996,0.5,0.95954,0.94452,0.94808,0.48984,0.9115,0.48278,0.85788,0.96994,0.7429584615384616,0.6565485714285714,0.9520299999999999,0.71896,0.69714,0.85788,0.65022,0.99076,0.86944,0.97378,0.9432,0.90236,0.85788,0.94096,0.9541999999999999,0.99916
"Lawrence A. Lavery, Kevin R. Higgins, Dan R. Lanctot, George P. Constantinides, Ruben G. Zamorano, Kyriacos A. Athanasiou, David G. Armstrong, C. Mauli Agrawal",Preventing Diabetic Foot Ulcer Recurrence in High-Risk Patients,2007,Diabetes Care,http://dx.doi.org/10.2337/dc06-1600,10.2337/dc06-1600,0.9837,0.98394,0.98294,0.9873,0.49048,0.98894,0.47692,0.48884,0.4994,0.4999,0.48702,0.98526,0.9996,0.98522,0.88396,0.88424,0.82656,0.46874,0.99086,0.49776,0.48296,0.49996,0.5,0.96142,0.47158,0.9558,0.98758,0.97402,0.9759,0.8924,0.484,0.7581353846153847,0.7220457142857143,0.7165,0.9716899999999999,0.97496,0.8924,0.48824,0.9949,0.95654,0.93594,0.9858,0.98542,0.8924,0.46854,0.951867,0.9991
"Lawrence A. Lavery, Kevin R. Higgins, Dan R. Lanctot, George P. Constantinides, Ruben G. Zamorano, Kyriacos A. Athanasiou, David G. Armstrong, C. Mauli Agrawal",Preventing Diabetic Foot Ulcer Recurrence in High-Risk Patients,2007,Diabetes Care,http://dx.doi.org/10.2337/dc06-1600,10.2337/dc06-1600,0.9837,0.98394,0.98294,0.9873,0.49048,0.98894,0.47692,0.48884,0.4994,0.4999,0.48702,0.98526,0.9996,0.98522,0.88396,0.88424,0.82656,0.46874,0.99086,0.49776,0.48296,0.49996,0.5,0.96142,0.47158,0.9558,0.98758,0.97402,0.9759,0.8924,0.484,0.7581353846153847,0.7220457142857143,0.7165,0.9716899999999999,0.97496,0.8924,0.48824,0.9949,0.95654,0.93594,0.9858,0.98542,0.8924,0.46854,0.951867,0.9991
"David Crews, Ross Gillette, Samuel V. Scarpino, Mohan Manikkam, Marina I. Savenkova, Michael K. Skinner",Epigenetic transgenerational inheritance of altered stress responses,2012,Proceedings of the National Academy of Sciences,http://dx.doi.org/10.1073/pnas.1118514109,10.1073/pnas.1118514109,0.9864,0.99284,0.98652,0.98968,0.49048,0.9966,0.47692,0.48884,0.4994,0.4999,0.99968,0.99388,0.49746,0.99396,0.99036,0.99056,0.98644,0.975,0.9996,0.49776,0.9956,0.49996,0.5,0.97302,0.47158,0.96594,0.99716,0.98734,0.99774,0.2003,0.9797,0.7620123076923077,0.8488457142857142,0.7222999999999999,0.98155,0.99254,0.2003,0.8243533333333334,0.9962,0.99872,0.94708,0.9899,0.99578,0.2003,0.99732,0.951129,0.99904
"Milena P. Mak, Pan Tong, Lixia Diao, Robert J. Cardnell, Don L. Gibbons, William N. William, Ferdinandos Skoulidis, Edwin R. Parra, Jaime Rodriguez-Canales, Ignacio I. Wistuba, John V. Heymach, John N. Weinstein, Kevin R. Coombes, Jing Wang, Lauren Averett Byers","A Patient-Derived, Pan-Cancer EMT Signature Identifies Global Molecular Alterations and Immune Target Enrichment Following Epithelial-to-Mesenchymal Transition",2016,Clinical Cancer Research,http://dx.doi.org/10.1158/1078-0432.ccr-15-0876,10.1158/1078-0432.ccr-15-0876,0.99642,0.9906,0.99576,0.99528,0.49048,0.99952,0.47692,0.48884,0.4994,0.4999,0.48702,0.99196,0.49746,0.99196,0.91826,0.92564,0.88608,0.9742,0.481,0.49776,0.48296,0.49996,0.5,0.47926,0.96724,0.9929,0.9998,0.952,0.48278,0.92462,0.484,0.7234692307692308,0.7407342857142857,0.72325,0.9963500000000001,0.71739,0.92462,0.48824,0.98536,0.96652,0.9481,0.99882,0.94096,0.92462,0.46854,0.947778,0.999
"Lawrence A. Lavery, Kevin R. Higgins, Dan R. Lanctot, George P. Constantinides, Ruben G. Zamorano, David G. Armstrong, Kyriacos A. Athanasiou, C. Mauli Agrawal",Home Monitoring of Foot Skin Temperatures to Prevent Ulceration,2004,Diabetes Care,http://dx.doi.org/10.2337/diacare.27.11.2642,10.2337/diacare.27.11.2642,0.9747,0.9327,0.97072,0.9736,0.49048,0.9811,0.47692,0.48884,0.4994,0.4999,0.48702,0.95202,0.99622,0.95238,0.88756,0.89072,0.8647,0.95338,0.98494,0.49776,0.48296,0.49996,0.5,0.96654,0.47158,0.93052,0.48984,0.94268,0.97196,0.87232,0.484,0.7462538461538462,0.7973228571428572,0.71906,0.71018,0.95732,0.87232,0.48824,0.99174,0.99154,0.94126,0.92876,0.97896,0.87232,0.46854,0.9469650000000001,0.99894
"Lawrence A. Lavery, Kevin R. Higgins, Dan R. Lanctot, George P. Constantinides, Ruben G. Zamorano, David G. Armstrong, Kyriacos A. Athanasiou, C. Mauli Agrawal",Home Monitoring of Foot Skin Temperatures to Prevent Ulceration,2004,Diabetes Care,http://dx.doi.org/10.2337/diacare.27.11.2642,10.2337/diacare.27.11.2642,0.9747,0.9327,0.97072,0.9736,0.49048,0.9811,0.47692,0.48884,0.4994,0.4999,0.48702,0.95202,0.99622,0.95238,0.88756,0.89072,0.8647,0.95338,0.98494,0.49776,0.48296,0.49996,0.5,0.96654,0.47158,0.93052,0.48984,0.94268,0.97196,0.87232,0.484,0.7462538461538462,0.7973228571428572,0.71906,0.71018,0.95732,0.87232,0.48824,0.99174,0.99154,0.94126,0.92876,0.97896,0.87232,0.46854,0.9469650000000001,0.99894
"Alexandru T. Balaban, Daniela C. Oniciu, Alan R. Katritzky",Aromaticity as a Cornerstone of Heterocyclic Chemistry,2004,Chemical Reviews,http://dx.doi.org/10.1021/cr0306790,10.1021/cr0306790,0.99368,0.97412,0.9938,0.99308,0.49048,0.95526,0.47692,0.48884,0.4994,0.4999,0.48702,0.97884,0.49746,0.97876,0.88756,0.89428,0.39468,0.46874,0.481,0.49776,0.48296,0.49996,0.5,0.96034,0.9457,0.93052,0.48984,0.91454,0.48278,0.9677,0.9984,0.7164523076923076,0.58946,0.95302,0.71018,0.6986600000000001,0.9677,0.6597066666666667,0.98112,0.77032,0.97404,0.92876,0.9049,0.9677,0.98868,0.946181,0.99888
