doi,capture.READER_COUNT,citation.Scopus,citation.CrossRef,citation.Academic Citation Index (ACI) - airiti,citation.PubMed,citation.Policy Citation,citation.Patent Families,mention.NEWS_COUNT,mention.FACEBOOK_COUNT,mention.REFERENCE_COUNT,citation.SSRN,mention.ABSTRACT_VIEWS,mention.DOWNLOAD_COUNT,mention.ALL_BLOG_COUNT,citation.PubMed Guidelines,mention.FULL_TEXT_VIEWS,citation.SciELO,capture.EXPORTS_SAVES,citation.CSCD
10.2466/pms.2000.90.1.105,7.0,1.0,,,,,,,,,,,,,,,,,
10.1177/10780870022184705,45.0,29.0,17.0,1.0,,1.0,,,,2.0,,,,,,,,,
10.1021/es000925e,53.0,144.0,124.0,,,3.0,,,,,,,,,,,,,
10.1044/0161-1461.3101.88,81.0,120.0,93.0,,29.0,1.0,,,,,,,,,,,,,
10.1177/003435520004300407,26.0,31.0,17.0,1.0,,,,,,,,,,,,,,,
10.1177/153321010000600119,,,,,,,,,,,,,,,,,,,
10.1177/104990910001700211,48.0,19.0,18.0,,2.0,,,,,,,,,,,,,,
10.1177/105268460001000404,8.0,,1.0,,,,,,,,,,,,,,,,
10.4028/www.scientific.net/msf.331-337.1683,18.0,,32.0,,,,,,,,,,,,,,,,
10.1287/trsc.34.2.198.12304,93.0,257.0,224.0,,,1.0,,,,,,,,,,,,,
10.1016/s0022-5347(05)67575-1,23.0,44.0,35.0,,,1.0,,,,,,,,,,,,,
10.1177/106591290005300404,13.0,21.0,6.0,,,,,,,,,,,,,,,,
10.1177/089124300014003003,198.0,228.0,128.0,,,3.0,,,,1.0,,,,,,,,,
10.1177/0739986300222003,11.0,7.0,7.0,,,,,,,,,,,,,,,,
10.4028/www.scientific.net/msf.331-337.1619,5.0,,3.0,,,,,,,,,,,,,,,,
10.1177/089124300014006006,20.0,19.0,16.0,,,,,,,,,,,,,,,,
10.2466/pr0.2000.87.3.830,15.0,50.0,24.0,,2.0,,,,,,,,,,,,,,
10.1177/154193120004402824,12.0,5.0,4.0,,,,,,,,,,,,,,,,
10.1021/tx000025b,18.0,15.0,13.0,,3.0,,,,,,,,,,,,,,
10.1021/jp002202n,26.0,71.0,42.0,,,,,,,,,,,,,,,,
10.1177/108056990006300410,1.0,,,,,,,,,,,,,,,,,,
10.4018/978-1-87828-976-6,,,5.0,,,,,,,,,,,,,,,,
10.1063/1.1286035,941.0,1991.0,1897.0,,,,,,,6.0,,217.0,3083.0,,,,,,
10.2190/b51g-8u0w-n0eq-mjuu,30.0,,41.0,,,,,,,,,266.0,,,,,,,
10.13182/nse00-a2154,2.0,4.0,1.0,,,,,,,,,,,,,,,,
10.1177/154193120004402922,12.0,,5.0,,,,,,,,,,,,,,,,
10.1021/la990539e,10.0,29.0,23.0,,,,,,,,,2.0,,,,,,,
10.1177/019791830003400106,,,8.0,,,,,,,,,,,,,,,,
10.1177/014920630002600408,605.0,597.0,278.0,6.0,,7.0,,,,1.0,,,,,,,,,
10.1021/ic991370v,10.0,49.0,43.0,,,,,,,,,,,,,,,,
10.5465/amr.2000.3707700,141.0,97.0,76.0,,,1.0,,,,,,,,,,,,,
10.1128/iai.68.8.4759-4764.2000,36.0,91.0,81.0,,58.0,,1.0,,1.0,,,,,,,,,,
10.1177/106591290005300408,59.0,86.0,68.0,,,7.0,,,,,,,,,,,,,
10.1177/073346480001900105,14.0,28.0,31.0,,,,,,,,,,,,,,,,
10.1177/1066480700083019,9.0,2.0,3.0,,,,,,,,,,,,,,,,
10.1177/1066480700081004,42.0,17.0,16.0,1.0,,,,,,,,,,,,,,,
10.1017/s1466046600001174,7.0,3.0,1.0,,,,,,,,,,,,,,,,
10.1021/bi0005660,38.0,99.0,81.0,,45.0,1.0,,,,,,,,,,,,,
10.1177/154193120004402508,5.0,2.0,1.0,,,,,,,,,,,,,,,,
10.3141/1721-08,26.0,52.0,22.0,,,1.0,,,,,,,,,,,,,
10.1177/154193120004402506,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10.2308/jata.2000.22.s-1.34,18.0,,29.0,,,1.0,,,,,,,,,,,,,
10.1016/s1441-3523(00)70082-9,89.0,56.0,43.0,4.0,,,,,,,,,,,,,,,
10.1300/j051v09n01_02,35.0,60.0,41.0,,,1.0,,,,,,,,,,,,,
10.1080/074811800750036596,63.0,49.0,22.0,,20.0,,,,,,,,,1.0,,,,,
10.2308/acch.2000.14.1.1,27.0,23.0,31.0,,,,,,5.0,,,,,,,,,,
10.2308/acch.2000.14.2.211,16.0,5.0,5.0,,,,,,,,,,,,,,,,
10.1177/014920630002600608,103.0,83.0,67.0,,,,,,,,,,,,,,,,
10.1345/aph.19327,51.0,106.0,71.0,,5.0,,,,,,,,,,,,,,
10.1177/105984050001600206,22.0,9.0,5.0,,,,,,,,,,,,,,,,
10.1177/0010414000033008001,61.0,54.0,44.0,,,2.0,,,,,,,,,,,,,
10.1111/j.1471-6402.2000.tb01027.x,45.0,46.0,28.0,,,,,,,,,9.0,,,,,,,
10.1161/01.atv.20.3.836,104.0,272.0,211.0,,66.0,1.0,,,,,,,,,2.0,,,,
10.1021/ic991022t,10.0,84.0,63.0,,,,,,,,,,,,,,,,
10.1366/0003702001949249,4.0,6.0,4.0,,,,,,,,,,,,,,,,
10.1177/0013164400602002,97.0,253.0,166.0,1.0,,,,,,,,,,,,,,,
10.1177/105678790000900401,5.0,2.0,1.0,,,,,,,,,,,,,,,,
10.1177/00131640021970682,52.0,132.0,100.0,1.0,,1.0,,,,,,,,,,,,,
10.1021/ic990793u,13.0,96.0,69.0,,3.0,,,,,,,,,,,,,,
10.1021/tx0000926,19.0,19.0,14.0,,6.0,,,,,,,,,,,,,,
10.1063/1.481717,12.0,52.0,50.0,,,,,,,,,,,,,,,,
10.1116/1.1306309,8.0,,12.0,,,,,,,,,,,,,,,,
10.1002/j.1536-4801.2000.tb02779.x,,,,,,,,,,,,,,,,,,,
10.3402/meo.v5i.4316,11.0,,1.0,,,,,,,,,,,,,,,,
10.2190/annd-wf82-q3vw-fewd,1.0,,,,,,,,,,,,,,,,,,
10.1080/00926230050084614,20.0,10.0,5.0,,2.0,,,,,,,,,,,,,,
10.5465/amr.2000.3363324,146.0,236.0,16.0,,,,,,,,,,,,,,,,
10.1021/ma9912655,34.0,85.0,68.0,,,,,,,,,,,,,,,,
10.1287/mnsc.46.2.205.11927,71.0,40.0,47.0,,,,,,,,,,,,,,,,
10.25224/1097-993x-3.1.26,8.0,,15.0,,,,,,,,,,,,,,,,
10.1128/aem.66.11.4849-4853.2000,48.0,69.0,58.0,,18.0,,,,,,,,,,,,,,
10.1115/imece2000-1988,6.0,1.0,,,,,,,,,,,,,,,,,
10.2118/64307-ms,9.0,,4.0,,,,,,,,,,,,,,,,
10.2308/iace.2000.15.4.657,49.0,,61.0,2.0,,,,,,,,,,,,,,,
10.1145/344599.344646,8.0,,68.0,,,,,,,,,,,,,,,,
10.1542/peds.106.5.998,77.0,124.0,109.0,,33.0,,,,,,,,,,,,,,
10.3141/1716-12,16.0,8.0,7.0,,,,,,,,,,,,,,,,
10.1177/019874290002500301,14.0,28.0,24.0,2.0,,1.0,,,,,,,,,,,,,
10.1145/343048.343140,,,6.0,,,,,,,,,,,,,,,,
10.1145/353519.343140,1.0,,14.0,,,,,,,,,,,,,,,,
10.1111/0002-9092.00124,5.0,3.0,2.0,,,1.0,,,,,,,,,,,,,
10.1145/336154.336207,26.0,,107.0,,,,,,,,,,,,,,,,
10.1080/1478601x.2000.9959564,1.0,,4.0,,,,,,,,,,,,,,,,
10.1093/condor/102.4.871,1.0,,1.0,,,5.0,,,,,,,,,,,,,
10.1080/00947679.2000.12062529,,,,,,,,,,,,,,,,,,,
10.1105/tpc.12.9.1633,193.0,398.0,292.0,,114.0,,,,,,,,,,,,,,
10.1016/s0362-3319(99)00063-4,20.0,17.0,15.0,,,2.0,,,,,,,,,,,,,
10.1080/10584580008222235,3.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1080/10835547.2000.12091011,35.0,,5.0,,,4.0,,,,,,,,,,,,,
10.1123/apaq.17.3.297,14.0,6.0,6.0,,,,,,,,,,,,,,,,
10.7326/0003-4819-133-1-200007040-00003,15.0,34.0,22.0,1.0,3.0,1.0,,,,,,,,,,,,,
10.1115/1.1408945,11.0,22.0,13.0,,,,,,,,,,,,,,,,
10.2190/f9at-eqwn-wmcl-g138,1.0,,,,,,,,,,,,,,,,,,
10.1007/s100190050006,2.0,21.0,17.0,,,,,,,,,,,,,,,,
10.1063/1.1312259,8.0,9.0,9.0,,,,,,,,,,,,,,,,
10.1161/01.cir.102.4.374,203.0,299.0,229.0,,68.0,5.0,,,,,,,,,2.0,,,,
10.1128/jcm.38.9.3291-3298.2000,54.0,86.0,62.0,,50.0,1.0,,,,,,1.0,28.0,,,,,,
10.1520/stp14782s,3.0,,2.0,,,,,,,,,,,,,,,,
10.2466/pr0.2000.86.3.819,28.0,12.0,9.0,,5.0,2.0,,,,,,,,,,,,,
10.1063/1.166490,11.0,14.0,14.0,,,,,,,,,,,,,,,,
10.1542/peds.106.se1.1224,9.0,,5.0,,,,,,,,,,,,,,,,
10.1161/01.str.31.9.2098,42.0,35.0,23.0,,8.0,,,,,,,,,,,,,,
10.1115/2000-gt-0521,3.0,5.0,,,,,,,,,,,,,,,,,
10.1300/j099v03n02_01,2.0,25.0,12.0,,,,,,,,,,,,,,,,
10.1161/01.atv.20.8.1998,179.0,335.0,275.0,,66.0,3.0,,,,,,,,,1.0,,,,
10.1177/0003489400109s1228,25.0,15.0,14.0,,5.0,,,,,,,,,,,,,,
10.1111/j.1937-5956.2000.tb00332.x,18.0,13.0,9.0,,,,,,,,,,,,,,,,
10.1287/opre.48.1.177.12451,31.0,85.0,70.0,,,,,,,,,,,,,,,,
10.3317/jraas.2000.025,,,,,,,,,,,,,,,,,,,
10.2134/agronj2000.9261047x,52.0,34.0,18.0,,,,,,,,,,,,,,,,
10.1177/000312240006500606,6.0,,,,,,,,,,,,,,,,,,
10.1080/01615440009598955,13.0,49.0,20.0,,,7.0,,,,,,,,,,,,,
10.1145/330855.330971,1.0,,1.0,,,,,,,,,,,,,,,,
10.2135/cropsci2000.402488x,19.0,81.0,62.0,,,2.0,,1.0,,,,,,,,,,,
10.5951/tcm.6.6.0398,11.0,,,,,,,,,,,,,,,,,,
10.1287/mksc.19.2.149.11807,37.0,16.0,17.0,,,,,,,,,,,,,,,,
10.3141/1727-05,55.0,98.0,70.0,,,1.0,,,,,,,,,,,,,
10.1177/154193120004402290,5.0,1.0,,,,,,,,,,,,,,,,,
10.1115/1.483161,4.0,9.0,3.0,,,,,,,,,,,,,,,,
10.1021/es001315h,38.0,77.0,57.0,,,3.0,,,,,,,,,,,,,
10.1300/j066v11n04_01,4.0,3.0,3.0,,,,,,,,,,,,,,,,
10.1080/2052546.2000.11931981,,,,,,,,,,,,,,,,,,,
10.1080/10556699.2000.10604692,5.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
10.1177/0959354300103006,56.0,92.0,73.0,,,1.0,,,,1.0,,,,,,,,,
10.1002/j.1435-0653.2000.tb21517.x,2.0,,3.0,,,,,,,,,,,,,,,,
10.1021/ma0009552,70.0,173.0,143.0,,,,,,,,,,,,,,,,
10.1212/wnl.55.5.636,38.0,185.0,159.0,,23.0,2.0,,1.0,,,,,,,3.0,,,,
10.1094/pdis.2000.84.10.1151c,1.0,,,,,,,,,,,,,,,,,,
10.1093/jaoac/83.2.533,,,,,,,,,,,,,,,,,,,
10.1177/0306624x00446006,13.0,5.0,4.0,,,,,,,,,,,,,,,,
10.1177/109019810002700206,66.0,28.0,28.0,2.0,7.0,2.0,,,,,,,,,,,,,
10.1242/jeb.203.24.3831,30.0,57.0,52.0,,6.0,,,,,,,,,,,,,,
10.1152/ajplung.2000.279.3.l423,16.0,87.0,63.0,,25.0,,,,,,,,,,,,,,
10.1093/genetics/154.4.1917,29.0,32.0,28.0,,16.0,,,,,,,,,,,,,,
10.1094/pdis.2000.84.4.489c,3.0,,,,,,,,,,,,,,,,,,
10.2190/xu6r-lkl1-7c48-ybql,,,,,,,,,,,,,,,,,,,
10.1142/9789814447362_0010,168.0,203.0,6.0,,96.0,,,,1.0,,,,,,,,,,
10.5818/1529-9651-10.3.4,22.0,,,,,,,,,,,,,,,,,,
10.1359/jbmr.2000.15.3.392,19.0,121.0,98.0,,36.0,1.0,,,,,,,,,,,,,
10.1176/jnp.12.2.173,17.0,9.0,4.0,,2.0,,,,,,,,,,,,,,
10.1212/wnl.54.2.532,10.0,19.0,14.0,,5.0,,,,,,,,,,,,,,
10.1115/1.482805,3.0,6.0,6.0,,,,,,,,,,,,,,,,
10.1520/jfs14732j,66.0,28.0,19.0,,,,,,,1.0,,,,,,,,,
10.1152/ajpendo.2000.279.6.e1226,26.0,102.0,73.0,,31.0,,,,,,,,,,,,,,
10.1177/00139160021972621,314.0,540.0,520.0,1.0,,8.0,,,,,,,,,,,,,
10.1128/jcm.38.5.2007-2009.2000,31.0,68.0,65.0,,22.0,,,,,,,,,,,,,,
10.1177/004728750003800403,99.0,93.0,61.0,3.0,,,,,,,,,,,,,,,
10.1161/01.atv.20.8.1939,40.0,109.0,84.0,,28.0,,,,,,,,,,,,,,
10.1152/ajpendo.2000.279.5.e1080,35.0,111.0,86.0,,31.0,,,,,,,,,,,,,,
10.1115/1.1336507,8.0,11.0,9.0,,,,,,,,,,,,,,,,
10.3141/1723-04,38.0,40.0,26.0,,,,,,,,,,,,,,,,
10.1093/jof/98.12.4a,7.0,,,,,,,,,,,,,,,,,,
10.3141/1701-05,38.0,15.0,6.0,,,,,,,,,,,,,,,,
10.1073/pnas.200221397,61.0,165.0,142.0,,24.0,,,,,,,,,,,,,,
10.1094/pdis.2000.84.9.961,21.0,10.0,9.0,,1.0,,,,,,,,,,,,,,
10.1142/s0218396x00000091,27.0,106.0,59.0,,,,,,,,,,,,,,,,
10.1161/01.hyp.35.6.1191,11.0,84.0,65.0,,26.0,,,,,,,,,,,,,,
10.1021/cm0001511,3.0,16.0,12.0,,,,,,,,,,,,,,,,
10.2135/cropsci2000.0006rcv,1.0,,4.0,,,,,,,,,,,,,,,,
10.1080/07481756.2000.12068987,7.0,8.0,8.0,,,2.0,,,,,,,,,,,,,
10.1061/(asce)0733-9372(2000)126:3(258),3.0,11.0,5.0,,,,,,,,,,,,,,,,
10.1212/wnl.54.7.1414,34.0,44.0,59.0,,16.0,,,,,,,,,,,,,,
10.1116/1.1324618,74.0,383.0,291.0,,,,1.0,,,,,,,,,,,,
10.1145/354324.354373,20.0,14.0,11.0,,,,,,,,,,,,,,,,
10.1128/jcm.38.7.2602-2610.2000,87.0,49.0,34.0,,10.0,,,,,,,2.0,19.0,,,,,,
10.1063/1.372833,14.0,57.0,48.0,,,,,,,,,,,,,,,,
10.1063/1.373240,13.0,40.0,36.0,,,,,,,,,,,,,,,,
10.1145/354908.354926,1.0,,,,,,,,,,,,,,,,,,
10.1142/s0129156400000350,1.0,,,,,,,,,,,,,,,,,,
10.1542/peds.106.2.282,60.0,48.0,42.0,,9.0,1.0,,,,,,,,,1.0,,,,
10.1093/genetics/156.3.1259,74.0,78.0,73.0,,20.0,,,,,,,,,,,,,,
10.1021/jo0004761,8.0,42.0,35.0,,5.0,,1.0,,,,,,,,,,,,
10.1146/annurev.matsci.30.1.645,53.0,381.0,316.0,,,,,,,,,,,,,,,,
10.1063/1.125801,24.0,114.0,95.0,,,,,,,,,,,,,,,,
10.1046/j.1365-2168.2000.01544-19.x,,,,,,,,,,,,,,,,,,,
10.1021/cm990686y,15.0,90.0,77.0,,,,,,,,,,,,,,,,
10.1063/1.126186,33.0,58.0,55.0,,,,,,,,,,,,,,,,
10.1063/1.127095,10.0,24.0,23.0,,,,,,,,,,,,,,,,
10.1177/106342660000800105,52.0,47.0,40.0,,,1.0,,,,,,,,,,,,,
10.1061/(asce)1527-6988(2000)1:4(197),14.0,13.0,15.0,,,,,,,,,,,,,,,,
10.1016/s0022-5347(05)67801-9,13.0,41.0,32.0,,5.0,,,,,,,,,,,,,,
10.1145/330855.331019,1.0,,1.0,,,,,,,,,,,,,,,,
10.1063/1.126568,13.0,33.0,30.0,,,,,,,,,,,,,,,,
10.1063/1.1329323,36.0,75.0,63.0,,,,,,,,,,,,,,,,
10.1021/ja9943748,51.0,135.0,99.0,,,,,,,,,,,,,,,,
10.1116/1.591234,,,,,,,,,,,,,,,,,,,
10.1063/1.1313816,21.0,28.0,25.0,,,,,,,,,,,,,,,,
10.2514/2.960,19.0,48.0,33.0,,,,,,,,,,,,,,,,
10.2514/2.3612,6.0,10.0,6.0,,,,,,,,,,,,,,,,
10.1104/pp.123.2.487,69.0,117.0,92.0,,40.0,,,,,,,,,,,,,,
10.1063/1.126240,19.0,15.0,15.0,,,,,,,,,,,,,,,,
10.1089/109264200421559,49.0,94.0,57.0,,25.0,,,,,,,,,,,,,,
10.1063/1.1308535,11.0,115.0,98.0,,,,,,,,,,,,,,,,
10.1021/jp001163c,17.0,64.0,59.0,,,,,,,,,,,,,,,,
10.1063/1.1311821,18.0,93.0,76.0,,,,1.0,,,,,,,,,,,,
10.1634/theoncologist.5-6-445,94.0,146.0,101.0,,56.0,,,1.0,,1.0,,,,,,,,,
10.1144/gsl.sp.2000.172.01.01,174.0,459.0,165.0,,,1.0,,,30.0,,,,,,,,,,
10.1021/jp994457a,30.0,21.0,18.0,,,,,,,,,,,,,,,,
10.1021/cm990126z,7.0,59.0,52.0,,,,,,,,,,,,,,,,
10.1080/02286203.2000.11442151,2.0,,,,,,,,,,,,,,,,,,
10.1097/00006123-200009000-00046,8.0,11.0,1.0,,,,,,244.0,,,,,,,,,,
10.1067/mhn.2000.105783,11.0,,8.0,,11.0,2.0,,,,,,,,,,,,,
10.1542/peds.106.s1.177,32.0,,,,,1.0,,,,,,,,,,,,,
10.1359/jbmr.2000.15.3.442,24.0,34.0,30.0,,9.0,,,,,,,,,,,,,,
10.1021/jp993653e,41.0,93.0,70.0,,,,,,,,,,,,,,,,
10.1089/107632700320883,40.0,97.0,90.0,,10.0,,,,,,,,,,,,,,
10.2514/2.6509,2.0,30.0,19.0,,,,,,,,,,,,,,,,
10.1116/1.1321762,3.0,41.0,22.0,,,,,,,,,,,,,,,,
10.1128/mcb.20.23.9092-9101.2000,36.0,30.0,24.0,,10.0,,,,,,,,,,,,,,
10.1021/jo000915w,12.0,83.0,71.0,,2.0,,,,,,,,,,,,,,
10.1080/00015458.2000.12098559,81.0,,,,,,,,,,,,,,,,,,
10.1016/s1044-0305(00)00166-5,20.0,36.0,30.0,,1.0,,,,,,,,,,,,,,
10.1116/1.582151,12.0,33.0,25.0,,,,,,,,,,,,,,,,
10.1097/00006123-200005000-00042,12.0,33.0,27.0,,18.0,,,,249.0,,,,,,,,,,
10.1063/1.1309018,7.0,6.0,4.0,,,,,,,,,,,,,,,,
10.1002/0471142727.mb2403s52,12.0,12.0,2.0,,5.0,,,,,,,,,,,,,,
10.1063/1.1150693,7.0,5.0,1.0,,,,,,,,,,,,,,,,
10.2337/diacare.23.8.1154,114.0,203.0,149.0,,83.0,1.0,,,1.0,,,,,,,,,,
10.1152/jappl.2000.88.2.730,124.0,64.0,25.0,1.0,16.0,1.0,,,,,,,,,,,,,
10.1200/jco.2000.18.22.3758,201.0,962.0,752.0,,161.0,9.0,1.0,,,,,,,,2.0,,,,
10.1177/0042085900352004,43.0,7.0,4.0,,,,,,,,,,,,,,,,
10.2514/2.6530,32.0,87.0,47.0,,,,,,,,,,,,,,,,
10.1063/1.1311304,6.0,9.0,7.0,,,,,,,,,,,,,,,,
10.1258/1357633001934951,,,,,,,,,,,,,,,,,,,
10.1063/1.1322049,43.0,50.0,44.0,,,,,,,,,,,,,,,,
10.1359/jbmr.2000.15.6.1169,51.0,143.0,124.0,,24.0,,,,,,,,,,,,,,
10.1116/1.582209,4.0,20.0,21.0,,,,,,,,,,,,,,,,
10.1021/cm000351c,5.0,50.0,43.0,,,,,,,,,,,,,,,,
10.1021/je990316q,4.0,13.0,4.0,,,,,,,,,,,,,,,,
10.1021/ma991847m,11.0,39.0,32.0,,,,,,,,,,,,,,,,
10.1177/09680519000060061101,10.0,15.0,6.0,,,,,,,,,,,,,,,,
10.1002/0471142700.nc0903s00,72.0,8.0,2.0,,2.0,,,,,,,,,,,,,,
10.1016/s0022-5347(05)67877-9,5.0,33.0,23.0,,,,,,,,,,,,,,,,
10.1021/je000084r,1.0,7.0,7.0,,,,,,,,,,,,,,,,
10.1021/jp992068a,23.0,49.0,42.0,,,,,,,,,,,,,,,,
10.1021/jo0002644,13.0,47.0,34.0,,,,,,,,,,,,,,,,
10.1046/j.1365-2168.2000.01544-67.x,,,,,,,,,,,,,,,,,,,
10.1063/1.481244,2.0,17.0,14.0,,,,,,,,,,,,,,,,
10.1063/1.125866,19.0,20.0,20.0,,,,,,,,,,,,,,,,
10.2307/1511347,42.0,68.0,46.0,1.0,,3.0,,,,,,,,,,,,,
10.2514/2.3647,15.0,79.0,64.0,,,,1.0,,,,,,,,,,,,
10.1021/je0000930,6.0,10.0,8.0,,,,,,,,,,,,,,,,
10.1021/je0001173,4.0,10.0,8.0,,,,,,,,,,,,,,,,
10.1021/je000078v,6.0,14.0,9.0,,,,,,,,,,,,,,,,
10.1520/jfs14658j,18.0,16.0,6.0,,,,,,,,,,,,,,,,
10.1116/1.591232,,4.0,3.0,,,,,,,,,,,,,,,,
10.1152/jappl.2000.89.4.1302,50.0,43.0,29.0,,10.0,,,,,,,,,,,,,,
10.1121/1.428343,4.0,11.0,8.0,,1.0,,,,,,,,,,,,,,
10.1002/0471142700.nc0902s00,28.0,22.0,4.0,,4.0,,,,,,,,,,,,,,
